bodyId,class,type,instance,somaSide
53221,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
53241,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
53250,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
53267,Kenyon_Cell,KCg-m,KCg-m_R,R
53271,Kenyon_Cell,KCg-d,KCg-d_L,L
53278,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
53285,DAN,PAM01,PAM01(y5)_L,L
53331,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
53354,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
53382,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
53383,Kenyon_Cell,KCg-m,KCg-m_R,R
53397,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
53430,Kenyon_Cell,KCab-p,KCab-p_L,L
53448,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
53472,Kenyon_Cell,KCg-m,KCg-m_R,R
53505,Kenyon_Cell,KCg-d,KCg-d_R,R
53535,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
53592,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
53633,Kenyon_Cell,KCg-m,KCg-m_R,R
53645,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
53655,Kenyon_Cell,KCg-m,KCg-m_R,R
53680,Kenyon_Cell,KCg-d,KCg-d_L,L
53686,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
53688,Kenyon_Cell,KCg-m,KCg-m_R,R
53756,Kenyon_Cell,KCg-m,KCg-m_L,L
53766,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
53833,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
53836,Kenyon_Cell,KCg-m,KCg-m_R,R
53851,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
53863,Kenyon_Cell,KCab-c,KCab-c_R,R
53881,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
53914,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
53947,Kenyon_Cell,KCg-m,KCg-m_R,R
53957,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
53987,Kenyon_Cell,KCg-m,KCg-m_L,L
53994,Kenyon_Cell,KCg-m,KCg-m_R,R
54067,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
54192,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
54202,Kenyon_Cell,KCg-m,KCg-m_L,L
54255,Kenyon_Cell,KCg-m,KCg-m_L,L
54345,Kenyon_Cell,KCg-m,KCg-m_R,R
54398,Kenyon_Cell,KCab-s,KCab-s_L,L
54429,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
54455,Kenyon_Cell,KCg-m,KCg-m_R,R
54549,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
54641,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
54647,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
54661,Kenyon_Cell,KCab-s,KCab-s_R,R
54702,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
54717,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
54729,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
54746,Kenyon_Cell,KCg-m,KCg-m_R,R
54936,Kenyon_Cell,KCg-m,KCg-m_R,R
54957,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
54996,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
55003,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
55062,Kenyon_Cell,KCg-m,KCg-m_R,R
55083,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
55123,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
55141,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
55210,DAN,PAM08,PAM08(y4)_L,L
55216,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
55227,Kenyon_Cell,KCab-c,KCab-c_R,R
55278,Kenyon_Cell,KCg-m,KCg-m_R,R
55316,Kenyon_Cell,KCab-p,KCab-p_L,L
55460,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
55480,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
55485,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
55528,Kenyon_Cell,KCab-s,KCab-s_R,R
55542,Kenyon_Cell,KCg-m,KCg-m_L,L
55586,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
55670,Kenyon_Cell,KCg-m,KCg-m_R,R
55755,Kenyon_Cell,KCab-c,KCab-c_R,R
55765,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
55850,Kenyon_Cell,KCg-m,KCg-m_R,R
55853,Kenyon_Cell,KCg-m,KCg-m_L,L
55857,Kenyon_Cell,KCg-m,KCg-m_R,R
55884,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
55919,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
55935,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
55946,Kenyon_Cell,KCab-p,KCab-p_R,R
55955,Kenyon_Cell,KCab-s,KCab-s_L,L
55998,Kenyon_Cell,KCg-m,KCg-m_R,R
56000,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
56130,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
56145,Kenyon_Cell,KCg-d,KCg-d_L,L
56223,Kenyon_Cell,KCg-m,KCg-m_R,R
56251,Kenyon_Cell,KCg-m,KCg-m_L,L
56274,Kenyon_Cell,KCab-s,KCab-s_R,R
56284,Kenyon_Cell,KCg-d,KCg-d_R,R
56297,Kenyon_Cell,KCg-m,KCg-m_R,R
56315,Kenyon_Cell,KCg-m,KCg-m_R,R
56352,Kenyon_Cell,KCab-p,KCab-p_L,L
56424,Kenyon_Cell,KCg-m,KCg-m_R,R
56430,Kenyon_Cell,KCg-m,KCg-m_R,R
56461,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
56650,Kenyon_Cell,KCg-m,KCg-m_L,L
56666,Kenyon_Cell,KCg-m,KCg-m_R,R
56692,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
56749,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
56866,Kenyon_Cell,KCg-m,KCg-m_L,L
56936,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
56943,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
57015,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
57075,Kenyon_Cell,KCg-m,KCg-m_R,R
57106,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
57152,Kenyon_Cell,KCg-m,KCg-m_L,L
57171,Kenyon_Cell,KCg-m,KCg-m_R,R
57179,Kenyon_Cell,KCg-m,KCg-m_R,R
57219,Kenyon_Cell,KCab-s,KCab-s_R,R
57244,Kenyon_Cell,KCab-p,KCab-p_L,L
57302,Kenyon_Cell,KCg-d,KCg-d_R,R
57314,Kenyon_Cell,KCg-m,KCg-m_R,R
57341,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
57355,Kenyon_Cell,KCg-m,KCg-m_R,R
57356,Kenyon_Cell,KCg-m,KCg-m_R,R
57387,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
57403,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
57413,Kenyon_Cell,KCg-d,KCg-d_R,R
57425,Kenyon_Cell,KCab-s,KCab-s_R,R
